0:0:0:0:0:0:0:1 - - [29/May/2023:00:39:11 +0300] "GET /ecommerce/imgproductImages/0b0801ca-3cd5-471d-8b70-47ee77e5b8b4 HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [29/May/2023:00:39:24 +0300] "POST /ecommerce/AddProductServlet HTTP/1.1" 500 1839
0:0:0:0:0:0:0:1 - - [29/May/2023:00:43:37 +0300] "GET /ecommerce/login.jsp HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [29/May/2023:00:43:48 +0300] "POST /ecommerce/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:43:48 +0300] "GET /ecommerce/index.jsp HTTP/1.1" 200 7311
0:0:0:0:0:0:0:1 - - [29/May/2023:00:43:50 +0300] "GET /ecommerce/AdminMainPanel.jsp HTTP/1.1" 200 8368
0:0:0:0:0:0:0:1 - - [29/May/2023:00:43:54 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 16000
0:0:0:0:0:0:0:1 - - [29/May/2023:00:43:54 +0300] "GET /ecommerce/imgproductImages/0b0801ca-3cd5-471d-8b70-47ee77e5b8b4 HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [29/May/2023:00:43:56 +0300] "POST /ecommerce/DeleteProductServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:43:56 +0300] "GET /ecommerce/admin-product-management.jsp HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [29/May/2023:00:44:00 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 15278
0:0:0:0:0:0:0:1 - - [29/May/2023:00:44:15 +0300] "POST /ecommerce/AddProductServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:44:15 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 15972
0:0:0:0:0:0:0:1 - - [29/May/2023:00:44:15 +0300] "GET /ecommerce/img/product/558d3f3f-c446-4fd3-a59b-5c6794a4d8e2 HTTP/1.1" 200 88447
0:0:0:0:0:0:0:1 - - [29/May/2023:00:44:43 +0300] "GET /ecommerce/AdminMainPanel.jsp HTTP/1.1" 200 8368
0:0:0:0:0:0:0:1 - - [29/May/2023:00:44:45 +0300] "GET /ecommerce/AdminProduct.jsp HTTP/1.1" 200 15972
0:0:0:0:0:0:0:1 - - [29/May/2023:00:44:45 +0300] "GET /ecommerce/img/product/558d3f3f-c446-4fd3-a59b-5c6794a4d8e2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2023:00:44:51 +0300] "POST /ecommerce/DeleteProductServlet HTTP/1.1" 302 -
